S.No.,Discom,Zone,Circle,Division,DistributionSub-StationName,NameIncomingFeeder,NameOutgoingFeeder,FeederCode,FeederVoltage,CategoryFeeder,SupplyArea,ProjectArea,MeterMakeType,MeterSlNo,OverallMF,MappedEDD,Status
4055,POORVANCHAL,AZAMGARH,EDC II AZAMGARH,EDD PHOOLPUR,KAURAGAHNI_426032,INC-1,NONARI_42602431264NNR,42602431264NNR,11,OTHER,OTHERS,RURAL,SECURE,XB408640,2,EDD PHOOLPUR,Active
4056,POORVANCHAL,AZAMGARH,EDC II AZAMGARH,EDD PHOOLPUR,FARIDABAD_426032,INC-1,AMBARPUR_42602430255ABR,42602430255ABR,11,OTHER,OTHERS,RURAL,SECURE,X0394828,2,EDD PHOOLPUR,Active
4057,POORVANCHAL,AZAMGARH,EDC I AZAMGARH,EDD III AZAMGARH,MEHNAGAR TAHSIL_426013,INC-1,TOWN-1_42601330286TWN,42601330286TWN,11,OTHER,OTHERS,RURAL,LNT,14095052,1,EDD III AZAMGARH,Active
4058,POORVANCHAL,AZAMGARH,EDC I AZAMGARH,EDD III AZAMGARH,GOSAI KI BAZAR_426013,INC-1,AMUDA_42601310274AMD,42601310274AMD,11,OTHER,OTHERS,RURAL,Secure,UPU28682,1,EDD III AZAMGARH,Active
4059,POORVANCHAL,AZAMGARH,EDC I AZAMGARH,EDD II AZAMGARH,KAPASA_426012,INC-1,DHARSAN_42601230270DSN,42601230270DSN,11,OTHER,OTHERS,RURAL,Secure,UPU28720,1,EDD II AZAMGARH,Active
4060,POORVANCHAL,AZAMGARH,EDC I AZAMGARH,EDD II AZAMGARH,SARDAHA_426012,INC-1,GOPALPUR_42601230269GPL,42601230269GPL,11,OTHER,OTHERS,RURAL,Secure,X0151701,1,EDD II AZAMGARH,Active
4061,POORVANCHAL,AZAMGARH,EDC I AZAMGARH,EDD II AZAMGARH,BILRIAGANJ_426012,INC-2,EAST_42601210260EST,42601210260EST,11,OTHER,OTHERS,RURAL,Secure,UPU28982,1,EDD II AZAMGARH,Active
4062,POORVANCHAL,AZAMGARH,EDC I AZAMGARH,EDD I AZAMGARH,OLD POWER HOUSE_44049,INC-1,NAGAR PALIKA_42601124049NGP,42601124049NGP,11,OTHER,DISTRICT HQ,URBAN,Secure,UPU28875,1,EDD I AZAMGARH,Active
4063,POORVANCHAL,AZAMGARH,EDC I AZAMGARH,EDD I AZAMGARH,CHANDESHAR_426011,INC-1,NIBI PTW_42601120225NAG,42601120225NAG,11,AGRICULTURE,OTHERS,RURAL,Secure,XE471913,1,EDD I AZAMGARH,Active
4064,POORVANCHAL,VARANASI-II,EDC II JAUNPUR,EDD MACHHLISHAHAR,MACHHALISHAHAR_416381,INC-1,MUSTFABAD_41638310439MUS,41638310439MUS,11,OTHER,OTHERS,IPDS,SECURE,UMV89587,2,EDD MACHHLISHAHAR,Active
4065,POORVANCHAL,VARANASI-II,EDC CHANDAULI,EDD III SAKALDIHA,AMARA_416533,INC-2,JEVARI_41658310662JWR,41658310662JWR,11,OTHER,OTHERS,RURAL,SECURE,UMV89905,1,EDD III SAKALDIHA,Active
4066,POORVANCHAL,VARANASI-II,EDC CHANDAULI,EDD III SAKALDIHA,DHANAPUR_416533,INC-2,DHARAAW (AWAJAPUR)_41658310661DHA,41658310661DHA,11,OTHER,OTHERS,RURAL,SECURE,X1124864,1,EDD III SAKALDIHA,Active
