S.No.,Discom,Zone,Circle,Division,DistributionSub-StationName,NameIncomingFeeder,NameOutgoingFeeder,FeederCode,FeederVoltage,CategoryFeeder,SupplyArea,ProjectArea,MeterMakeType,MeterSlNo,OverallMF,MappedEDD,Status
2789,PASCHIMANCHAL,MORADABAD,EDC MORADABAD,EDD I MORADABAD,BILARI_120411,INC-1,NOURTH EAST_12041191142NE2,12041191142NE2,11,OTHER,OTHERS,RURAL,HPLHTTVM,HPL64309,0.06,EDD I MORADABAD,Active
2790,PASCHIMANCHAL,MORADABAD,EDC MORADABAD,EDD I MORADABAD,MAINATHER_120411,INC-2,DINGERPUR PTW_12041191162DEE,12041191162DEE,11,AGRICULTURE,OTHERS,RURAL,"SECURE, HTTVM",UPP41841,1,EDD I MORADABAD,Active
2791,PASCHIMANCHAL,SAHARANPUR,EDC II SAHARANPUR,EDD RAMPUR MANIHARAN,NANAUTA_130163,INC-1,KURANA PTW_13016390921KHU,13016390921KHU,11,OTHER,OTHERS,RURAL,HRT,79334,1,EDD RAMPUR MANIHARAN,Active
2792,PASCHIMANCHAL,SAHARANPUR,EDC II SAHARANPUR,EDD RAMPUR MANIHARAN,ISLAMNAGAR_130163,INC-1,ISLAMNAGAR_13016390923INT,13016390923INT,11,OTHER,TEHSIL HQ,RURAL,SECURE,PVV00453,0.04,EDD RAMPUR MANIHARAN,Active
2793,PASCHIMANCHAL,SAHARANPUR,EDC II SAHARANPUR,EDD RAMPUR MANIHARAN,BARGAON_130163,INC-3,CHANDPUR PTW_13016390927CDR,13016390927CDR,11,OTHER,OTHERS,RURAL,GENUS,8428765,0.06,EDD RAMPUR MANIHARAN,Active
2794,PASCHIMANCHAL,SAHARANPUR,EDC II SAHARANPUR,EDD RAMPUR MANIHARAN,KISHANPURA_10932,INC-1,BHUTPURA_13016390932BTA,13016390932BTA,11,OTHER,OTHERS,RURAL,SECURE,HRT79313,1,EDD RAMPUR MANIHARAN,Active
2795,PASCHIMANCHAL,SAHARANPUR,EDC II SAHARANPUR,EDD RAMPUR MANIHARAN,RAMPUR TEHSIL_10917,INC-1,ISLAMPUR ROAD TOWN_16004310917ISR,16004310917ISR,11,OTHER,OTHERS,RURAL,secure,UPP41828,1,EDD RAMPUR MANIHARAN,Active
2796,PASCHIMANCHAL,MUZAFFARNAGAR,EDC II MUZAFFARNAGAR,EDD BUDHANA,JAULA_130271,INC-1,BIRAL PTW_13027190548BIR,13027190548BIR,11,AGRICULTURE,OTHERS,RURAL,SECURE,UPP47365,2,EDD BUDHANA,Active
2797,PASCHIMANCHAL,MUZAFFARNAGAR,EDC II MUZAFFARNAGAR,EDD BUDHANA,MINDKALI_130271,INC-1,BADAUDA + SATHEDI TOWN_13027290545BST,13027290545BST,11,OTHER,OTHERS,RURAL,SECURE,HRT76049,1,EDD BUDHANA,Active
2798,PASCHIMANCHAL,MUZAFFARNAGAR,EDC SHAMLI,EDD IV SHAMLI,JHARKHERI_137453,INC-1,BUCHHA KHERI RURAL PTW_13745390695BKR,13745390695BKR,11,AGRICULTURE,OTHERS,RURAL,SEC.,UPP42393,1,EDD IV SHAMLI,Active
2799,PASCHIMANCHAL,MUZAFFARNAGAR,EDC SHAMLI,EDD IV SHAMLI,KANDELA_137453,INC-2,JAGANPUR RURAL PTW_13745390692JGP,13745390692JGP,11,AGRICULTURE,OTHERS,RURAL,LNT,12002398,2,EDD IV SHAMLI,Active
2800,PASCHIMANCHAL,MUZAFFARNAGAR,EDC SHAMLI,EDD IV SHAMLI,JHINJHANA RURAL_137453,INC-1,VEDKHERI_13745390679VED,13745390679VED,11,OTHER,OTHERS,RURAL,HPL,U0238393,0.03,EDD IV SHAMLI,Active
2801,PASCHIMANCHAL,MUZAFFARNAGAR,EDC SHAMLI,EDD IV SHAMLI,KHERI KARMU_137453,INC-1,TITOLI PTW_13745390682TTP,13745390682TTP,11,AGRICULTURE,OTHERS,RURAL,LNT,13040239,0.03,EDD IV SHAMLI,Active
2802,PASCHIMANCHAL,MUZAFFARNAGAR,EDC SHAMLI,EDD III SHAMLI,JHAL_137452,INC-1,JHAL PTW_13745290710JHA,13745290710JHA,11,AGRICULTURE,OTHERS,RURAL,SECURE,XG439866,1,EDD III SHAMLI,Active
2803,PASCHIMANCHAL,MUZAFFARNAGAR,EDC SHAMLI,EDD III SHAMLI,SIKKA_137452,INC-2,MAHAVATPUR TOWN_13745211488MPT,13745211488MPT,11,OTHER,OTHERS,RURAL,SECURE,XD450343,0.04,EDD III SHAMLI,Active
