S.No.,Discom,Zone,Circle,Division,DistributionSub-StationName,NameIncomingFeeder,NameOutgoingFeeder,FeederCode,FeederVoltage,CategoryFeeder,SupplyArea,ProjectArea,MeterMakeType,MeterSlNo,OverallMF,MappedEDD,Status
60,KESCO,KESCO,CIRCLE II,DADA NAGAR,DADA NAGAR,INC-3,A-BLOCK,51332110035B12,11,INDUSTRIAL ABOVE 75%,DISTRICT HQ,IPDS,SECURE,X0271182,1,DADA NAGAR,Active
61,KESCO,KESCO,CIRCLE II,DADA NAGAR,DADA NAGAR,INC-4,KAMPU MAIL,51332110035B72,11,INDUSTRIAL ABOVE 75%,DISTRICT HQ,IPDS,SECURE,X1464829,2,DADA NAGAR,Active
62,KESCO,KESCO,CIRCLE II,DADA NAGAR,ISPAT NAGAR,INC-1,MTC NEW,51332120039B67,11,INDUSTRIAL ABOVE 75%,DISTRICT HQ,IPDS,SECURE,X0271174,1,DADA NAGAR,Active
63,KESCO,KESCO,CIRCLE I,ZAREEB CHOUKI,JAWAHAR NAGAR,INC-2,GURUDWARA,51331520029R21,11,MIXED ABOVE 25%,DISTRICT HQ,IPDS,SECURE,WBE13467,2,ZAREEB CHOUKI,Active
64,KESCO,KESCO,CIRCLE I,ZAREEB CHOUKI,JAWAHAR NAGAR,INC-1,JAWAHAR NAGAR SUBSTATION,51331520029R23,11,SUBSTATION,DISTRICT HQ,IPDS,SECURE,WBE13464,2,ZAREEB CHOUKI,InActive
65,KESCO,KESCO,CIRCLE I,PHOOL BAGH,GHANTA GHAR,INC-1,BERIWAL,51331410016M63,11,MIXED ABOVE 25%,DISTRICT HQ,IPDS,SECURE,X0038636,0.06,PHOOL BAGH,Active
66,KESCO,KESCO,CIRCLE I,PHOOL BAGH,JHADI BABA,INC-1,JHADI BABA SUB STATION FEEDER,51331430014M44,11,SUBSTATION,DISTRICT HQ,IPDS,SECURE,WBE13476,1.5,PHOOL BAGH,InActive
67,KESCO,KESCO,CIRCLE I,PHOOL BAGH,JHADI BABA,INC-1,CIRCUIT HOUSE,51331430014M42,11,MIXED ABOVE 25%,DISTRICT HQ,IPDS,SECURE,WBE13478,1.5,PHOOL BAGH,Active
68,KESCO,KESCO,CIRCLE I,PHOOL BAGH,RBI,INC-2,RBI COLONY FEEDER,51331430013M21,11,MIXED ABOVE 25%,DISTRICT HQ,IPDS,SECURE,X2145585,0.06,PHOOL BAGH,Active
69,KESCO,KESCO,CIRCLE I,PHOOL BAGH,RBI,INC-1,RBI SUBSTATION FEEDER,51331430013M23,11,SUBSTATION,DISTRICT HQ,IPDS,SECURE,X2145539,0.06,PHOOL BAGH,InActive
70,KESCO,KESCO,CIRCLE I,NAWABGANJ,CSA,INC-1,SUBSTATION,51331310098L29,11,SUBSTATION,DISTRICT HQ,IPDS,SECURE,X0361788,0.06,NAWABGANJ,InActive
71,KESCO,KESCO,CIRCLE I,NAWABGANJ,BENAJHABER,INC-1,NURSING HOME,51331320025L73,11,MIXED ABOVE 25%,DISTRICT HQ,IPDS,SECURE,X1329639,0.04,NAWABGANJ,Active
72,KESCO,KESCO,CIRCLE I,NAWABGANJ,ZOO,INC-1,SUB STATION,51331310020L53,11,SUBSTATION,DISTRICT HQ,IPDS,SECURE,WBE13443,1,NAWABGANJ,InActive
73,KESCO,KESCO,CIRCLE I,ELECTRICITY HOUSE,MUIR MILL,INC-2,MUIR MILL SUBSTATION FEEDER,51331220005D46,11,SUBSTATION,DISTRICT HQ,IPDS,SECURE,XB455683,1,ELECTRICITY HOUSE,InActive
74,KESCO,KESCO,CIRCLE I,ELECTRICITY HOUSE,MALL ROAD,INC-1,MALL ROAD SUBSTATION FEEDER,51331210003D42,11,SUBSTATION,DISTRICT HQ,IPDS,SECURE,XB455735,1,ELECTRICITY HOUSE,InActive
75,KESCO,KESCO,CIRCLE I,ELECTRICITY HOUSE,MALL ROAD,INC-1,BIJLI GHAR SUBSTATION FEEDER,51331210003D43,11,SUBSTATION,DISTRICT HQ,IPDS,SECURE,XB455701,1,ELECTRICITY HOUSE,InActive
76,KESCO,KESCO,CIRCLE III,HANSPURAM,HANSPURAM,INC-3,BAUDHYA NAGAR -I,51333610071S40,11,OTHER,DISTRICT HQ,IPDS,SECURE,XB455626,1,HANSPURAM,Active
77,KESCO,KESCO,CIRCLE IV,RATANPUR,JAWAHARPURAM,INC-1,JAWAHARPURAM SUBSTATION FEEDER,51332420050N32,11,SUBSTATION,DISTRICT HQ,IPDS,SECURE,X0361991,0.04,RATANPUR,Active
