S.No.,Discom,Zone,Circle,Division,DistributionSub-StationName,NameIncomingFeeder,NameOutgoingFeeder,FeederCode,FeederVoltage,CategoryFeeder,SupplyArea,ProjectArea,MeterMakeType,MeterSlNo,OverallMF,MappedEDD,Status
3198,POORVANCHAL,GORAKHPUR-I,EDC I GORAKHPUR,EDD CHAURI CHAURA,SARDARNAGAR_435742,INC-1,NORTH FEEDER_43572220863NOR,43572220863NOR,11,OTHER,OTHERS,RURAL,SECURE,X1084939,1,EDD CHAURI CHAURA,Active
3199,POORVANCHAL,GORAKHPUR-I,EDC II GORAKHPUR,EDD KAURIRAM,BANSGAON_435721,INC-2,BHATAULI_43573210897BHI,43573210897BHI,11,OTHER,OTHERS,RURAL,LNT,13077084,0.06,EDD KAURIRAM,Active
3200,POORVANCHAL,GORAKHPUR-I,EDC II GORAKHPUR,EDD KAURIRAM,CHAINPUR_435721,INC-1,NEWADA_43573220900NEW,43573220900NEW,11,OTHER,OTHERS,RURAL,SECURE,X0394407,0.06,EDD KAURIRAM,Active
3201,POORVANCHAL,MIRZAPUR,EDC MIRZAPUR,EDD II MIRZAPUR,BARJI MUKUNDPUR_466811,INC-1,MOHANPUR_46681131167MOH,46681131167MOH,11,OTHER,OTHERS,RURAL,SECURE,X0332362,2,EDD II MIRZAPUR,Active
3202,POORVANCHAL,MIRZAPUR,EDC MIRZAPUR,EDD II MIRZAPUR,JILA JAIL_44217,INC-1,PURANI DASHMI_46681114217PUD,46681114217PUD,11,OTHER,OTHERS,URBAN,SECURE,UPP36118,1,EDD II MIRZAPUR,Active
3203,POORVANCHAL,MIRZAPUR,EDC MIRZAPUR,EDD II MIRZAPUR,BHAWANIPUR_466811,INC-1,BHAWANIPUR_46681120725BAN,46681120725BAN,11,OTHER,OTHERS,RURAL,SECURE,XB408540,2,EDD II MIRZAPUR,Active
3204,POORVANCHAL,MIRZAPUR,EDC BHADOHI,EDD BHADOHI,MISHRAINPUR_416851,INC-1,BHARIPUR_46683120718BAI,46683120718BAI,11,OTHER,OTHERS,RURAL,L AND T,13285035,1,EDD BHADOHI,Active
3205,POORVANCHAL,VARANASI-II,EDC I JAUNPUR,EDD I JAUNPUR,KERAKAT NAIBAZAR_416372,INC-1,MAI_41637220373MAI,41637220373MAI,11,OTHER,OTHERS,RURAL,SECURE C3V055,GEC06777,40,EDD I JAUNPUR,Active
3206,POORVANCHAL,MIRZAPUR,EDC BHADOHI,EDD BHADOHI,ABHOLI_416851,INC-1,RAMNAGAR_46683120715RMA,46683120715RMA,11,OTHER,OTHERS,RURAL,SECURE,X0332368,1,EDD BHADOHI,Active
3207,POORVANCHAL,MIRZAPUR,EDC MIRZAPUR,EDD I MIRZAPUR,SAKTESHGARH_466813,INC-1,SAKTESHGARH_46681311099STG,46681311099STG,11,OTHER,OTHERS,RURAL,SECURE,UPP56960,1,EDD I MIRZAPUR,Active
