S.No.,Zone,Circle,Division,Substation,Feeder/Bay,Energy Meter Serial No.,Interface Type,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
126,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S GAZOKHAR,33 KV NEWADA,244135,T-D,June,2024,0,5464,NEWADA_414331,5464,EDD I VARANASI,POORVANCHAL
127,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S GAZOKHAR,33 KV SINDHORA,244110,T-D,June,2024,0,1845,SINDHORA_414333,1845,EDD CHIRAIGAON,POORVANCHAL
128,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S GAZOKHAR,33 KV AIR PORT,UPP26649,T-D,June,2024,0,899.58,,,,
129,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S GAZOKHAR,33 KV TBC,UPP40623,T-D,June,2024,0,0,,,,
130,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S GAZOKHAR,33 KV PINDRA,UPP40619,T-D,June,2024,0,5725.4,PINDRA_414331,5725.4,EDD I VARANASI,POORVANCHAL
131,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S GAZOKHAR,33 KV PINDRA(TEHSIL),UPP40621,T-D,June,2024,0,3304.8,TAHSIL PINDRA_414331,3304.8,EDD I VARANASI,POORVANCHAL
132,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S GAZOKHAR,33 KV NIYARDIH,UPC89499,T-D,June,2024,0,1.4,,,,
133,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S GAZOKHAR,33 KV GAJOKHAR,UPC89472,T-D,June,2024,0,2925.4,GAJOKHAR_414331,2925.4,EDD I VARANASI,POORVANCHAL
134,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S GAZOKHAR,33 KV KARKHIAON,UPP26648,T-D,June,2024,0,3711.29,KARAKHIYAN_414331,3711.29,EDD I VARANASI,POORVANCHAL
135,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S GAZOKHAR,33 KV UTTRA FEED,UPP26660,T-D,June,2024,0,112.53,,,,
136,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S GAZOKHAR,33 KV INDUSTRIAL,UPP26661,T-D,June,2024,0,674.97,,,,
137,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S GAZOKHAR,33 KV ANEI,5249794,T-D,June,2024,0,8200.88,TARSARA_414331,2050,EDD I VARANASI,POORVANCHAL
,,,,,,,,,,,,ANEI_414331,6150.88,EDD I VARANASI,POORVANCHAL
139,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S GAZOKHAR,33 KV PARLE AGRO,UP-4007A,T-D,June,2024,0,1224.37,,,,
140,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S CHOLAPUR,33 KV CHOLAPUR FEEDER,XF465015,T-D,June,2024,0,7485.8,CHOLAPUR_414333,7485.8,EDD CHIRAIGAON,POORVANCHAL
141,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S CHOLAPUR,33 KV PALHIPATTI FEEDER,XF465010,T-D,June,2024,0,1621,PALAHIPATTI_414333,1621,EDD CHIRAIGAON,POORVANCHAL
142,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S CHOLAPUR,33 KV RAUNAKALAN FEEDER,XF465013,T-D,June,2024,0,3811.5,RAUNAKALA_414333,2941.5,EDD CHIRAIGAON,POORVANCHAL
143,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S CHOLAPUR,33 KV TBC FEEDER,XF465014,T-D,June,2024,0,0,,,,
144,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S KURSATO,33KV BARANI FEEDER,UPP65503,T-D,June,2024,0,2454.2,BARNEE_414332,2454.2,EDD II VARANASI,POORVANCHAL
145,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S KURSATO,33KV BARAKI FEEDER,UPP65504,T-D,June,2024,0,6550.8,SEWAPURI_414332,4250,EDD II VARANASI,POORVANCHAL
,,,,,,,,,,,,BARKI_414332,2300.8,EDD II VARANASI,POORVANCHAL
147,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S KURSATO,33KV RAJJIPUR FEEDER,UPP65474,T-D,June,2024,0,9171,RAJJIPUR_414332,1961,EDD II VARANASI,POORVANCHAL
148,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S KURSATO,33KV KURSATO FEEDER,UPP65453,T-D,June,2024,0,571,KURSATO_414332,596,EDD II VARANASI,POORVANCHAL
149,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S KURSATO,33KV SEVAPURI FEEDER,UPP65451,T-D,June,2024,0,0,,,,
150,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S KURSATO,33KV DEENDASPUR FEEDER,UPP65455,T-D,June,2024,0,2995,,,,
151,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S KURSATO,33KV TBC,UPP65452,T-D,June,2024,0,0,,,,
