S.No.,Discom,Zone,Circle,Division,33KV-AboveConsumerFeeder,FeederCode,Category,SupplyArea,ProjectArea,FeederVoltage,Meter-MakeType,Meter-SlNo,OverallMF,Status
693,POORVANCHAL,PRAYAGRAJ-II,EDC I PRAYAGRAJ,EDD MEZA,33 KV HEMANT DAS GAVRI_41057HDG,41057HDG,INDEPENDENT,OTHERS,RURAL,33,SECURE,X0506984,20,Active
694,POORVANCHAL,PRAYAGRAJ-II,EDC I PRAYAGRAJ,EDD MEZA,33 KV PARERHAT CHEMICALS_41057PCC,41057PCC,INDEPENDENT,OTHERS,RURAL,33,SECURE,X0241656,75,Active
695,POORVANCHAL,PRAYAGRAJ-II,EDC I PRAYAGRAJ,EDD MEZA,33 KV MANDA UMAPUR PUMP CANAL_41041MPC,41041MPC,INDEPENDENT,OTHERS,RURAL,33,SECURE,Q0506979,200,Active
696,POORVANCHAL,PRAYAGRAJ-II,EDC I PRAYAGRAJ,EDD MEZA,33 KV NTPC BHUNDA_41029NTP,41029NTP,INDEPENDENT,OTHERS,RURAL,33,LNT,8113659,100,Active
697,POORVANCHAL,PRAYAGRAJ-II,EDC I PRAYAGRAJ,EDD MEZA,33 KV LAKHANPUR PUMP CANAL,NA,INDEPENDENT,OTHERS,RURAL,33,SECURE,Q0506978,200,Active
698,POORVANCHAL,GORAKHPUR-II,EDC MAHRAJGANJ,EDD MAHRAJGANJ,33 KV MAHARAJGANJ_41003MHG,41003MHG,INDEPENDENT,DISTRICT HQ,IPDS,33,SECURE,UPU24699,1,Active
699,POORVANCHAL,BASTI,EDC KHALILABAD,EDD KHALILABAD,33 KV INDISTRIAL_41034IND,41034IND,INDEPENDENT,DISTRICT HQ,IPDS,33,L&T,9576745,60,Active
700,POORVANCHAL,BASTI,EDC KHALILABAD,EDD KHALILABAD,33 KV NAVODAYA VIDAYALAYA_41047NVD,41047NVD,INDEPENDENT,DISTRICT HQ,IPDS,33,SECURE,UPU22663,0.5,Active
701,POORVANCHAL,BASTI,EDC KHALILABAD,EDD KHALILABAD,33 KV COURT_41034CR1,41034CR1,INDEPENDENT,DISTRICT HQ,IPDS,33,SECURE,KAB04515,0.06,Active
702,POORVANCHAL,BASTI,EDC KHALILABAD,EDD KHALILABAD,132 KV MUNDERWA SUGAR MILL_41047MSM,41047MSM,INDEPENDENT,TEHSIL HQ,TEHSIL,132,SECURE,UPP68034,0.24,Active
703,POORVANCHAL,BASTI,EDC KHALILABAD,EDD KHALILABAD,33 KV KUWANO PUMP CANAL_41047KWP,41047KWP,INDEPENDENT,OTHERS,RURAL,33,SECURE,ABB04283,0.5,Active
704,POORVANCHAL,PRAYAGRAJ-II,EDC FATEHPUR,EDD KHAGA,33 KV JARAULI PILM CANEL_41084JAR,41084JAR,INDEPENDENT,OTHERS,URBAN,33,SIMENCE,PNL4763,0.5,Active
705,POORVANCHAL,PRAYAGRAJ-II,EDC KAUSHAMBHI,EDD KAUSHAMBI,33 KV KISHANPUR PUMP CANAL_41066KSP,41066KSP,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPP26639,1,Active
706,POORVANCHAL,GORAKHPUR-I,EDC II GORAKHPUR,EDD KAURIRAM,33 KV GOYAL EDIBLE_41031GED,41031GED,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPU24726,75,Active
707,POORVANCHAL,VARANASI-II,EDC GHAZIPUR,EDD ZAMANIA,33 KV GHAHAMAR_41001GMR,41001GMR,INDEPENDENT,TEHSIL HQ,RURAL,33,LNG,U0239988,1,Active
708,POORVANCHAL,VARANASI-II,EDC GHAZIPUR,EDD ZAMANIA,33 KV GHAHAMAR L_41001GMR,41001GMR,INDEPENDENT,TEHSIL HQ,RURAL,33,LNG,U0239989,1,Active
709,POORVANCHAL,VARANASI-II,EDC GHAZIPUR,EDD ZAMANIA,33 KV CHAKABADH PUMP CANAL_41071CPC,41071CPC,INDEPENDENT,TEHSIL HQ,RURAL,33,SECURE,UPP26686,0.06,Active
710,POORVANCHAL,VARANASI-II,EDC I JAUNPUR,EDD IV JAUNPUR,33 KV MEDICAL COLLEGE_41063MDC,41063MDC,INDEPENDENT,OTHERS,RURAL,33,SECURE,Q0436359,50,Active
711,POORVANCHAL,VARANASI-II,EDC I JAUNPUR,EDD IV JAUNPUR,"33 KV PURVANCHAL, UNIVERSITY_41063PUN",41063PUN,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPU24749,30,Active
712,POORVANCHAL,VARANASI-II,EDC I JAUNPUR,EDD III JAUNPUR,33 KV DISTRICT HOSPITAL_41026DHS,41026DHS,INDEPENDENT,DISTRICT HQ,DISTRICT HQ,33,SECURE,UPE40113,0.12,InActive
713,POORVANCHAL,VARANASI-II,EDC I JAUNPUR,EDD III JAUNPUR,33 KV DISTRICT COURT_41026DCT,41026DCT,INDEPENDENT,DISTRICT HQ,DISTRICT HQ,33,SECURE,X0384534,20,Active
714,POORVANCHAL,AZAMGARH,EDC MAU,EDD III GHOSI,33 KV PUMP CANAL CKT 2_41014PC2,41014PC2,INDEPENDENT,OTHERS,RURAL,33,L&T,9576722,60,Active
715,POORVANCHAL,AZAMGARH,EDC MAU,EDD III GHOSI,33 KV PUMP CANAL CKT 1_41014PC1,41014PC1,INDEPENDENT,OTHERS,RURAL,33,L&T,9576723,2,Active
716,POORVANCHAL,VARANASI-I,EDC VARANASI,EDD II VARANASI,33 KV PGCIL_41085PGC,41085PGC,INDEPENDENT,OTHERS,RURAL,33,HPL,253020,0.025,Active
717,POORVANCHAL,PRAYAGRAJ-II,EDC II PRAYAGRAJ,EDD II PRAYAGRAJ,33 KV IFFCO_41083IFF,41083IFF,INDEPENDENT,OTHERS,RURAL,33,SECURE,UP104571,3.2,Active
718,POORVANCHAL,MIRZAPUR,EDC MIRZAPUR,EDD II MIRZAPUR,33 KV GOVT MEDICAL_41042GMD,41042GMD,INDEPENDENT,DISTRICT HQ,URBAN,33,HPL,253052,75,Active
719,POORVANCHAL,MIRZAPUR,EDC MIRZAPUR,EDD II MIRZAPUR,33 KV NGPC_41027NGP,41027NGP,INDEPENDENT,OTHERS,RURAL,33,L AND T,13279134,120,Active
720,POORVANCHAL,AZAMGARH,EDC MAU,EDD II MAU,33 KV NAVODAYA_41060NVD,41060NVD,INDEPENDENT,OTHERS,RURAL,33,SECURE,XB404048,1,Active
721,POORVANCHAL,GORAKHPUR-I,EDC II GORAKHPUR,EDD II GORAKHPUR,33 KV PGCIL_41074PGC,41074PGC,INDEPENDENT,OTHERS,RURAL,33,GENUS,9117566,30,Active
722,POORVANCHAL,GORAKHPUR-I,EDC II GORAKHPUR,EDD II GORAKHPUR,33 KV ANKUR UDHYOG_41020ANK,41020ANK,INDEPENDENT,OTHERS,RURAL,33,APEX ABT,UPP69251,60000,Active
723,POORVANCHAL,GORAKHPUR-I,EDC II GORAKHPUR,EDD II GORAKHPUR,33 KV GALLANT ISPAT_41020GLI,41020GLI,INDEPENDENT,OTHERS,RURAL,132,APEX ABT,Y0624561,75,Active
724,POORVANCHAL,GORAKHPUR-I,EDC II GORAKHPUR,EDD II GORAKHPUR,33 KV MAHABIR JUTE MILL_41020MJ2,41020MJ2,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPS97011,10,Active
725,POORVANCHAL,GORAKHPUR-I,EDC II GORAKHPUR,EDD II GORAKHPUR,33 KV MAHABIR JUTE MILL_41020MJM,41020MJM,INDEPENDENT,OTHERS,RURAL,33,APEX,UPP69514,30000,Active
726,POORVANCHAL,VARANASI-II,EDC GHAZIPUR,EDD II GHAZIPUR,33 KV VEERPUR PUMP CANAL_41035VPC,41035VPC,INDEPENDENT,TEHSIL HQ,RURAL,33,SECURE,KAU8406,0.5,Active
727,POORVANCHAL,AZAMGARH,EDC BALLIA,EDD II BALIA,33 KV HOSPITAL_41004HSP,41004HSP,INDEPENDENT,OTHERS,URBAN,33,L&T,9576558,60,Active
728,POORVANCHAL,AZAMGARH,EDC BALLIA,EDD II BALIA,33 KV COURT_41004DCR,41004DCR,INDEPENDENT,DISTRICT HQ,URBAN,33,L&T,10291379,0.25,Active
729,POORVANCHAL,VARANASI-I,EDC VARANASI,EDD I VARANASI,33 KV PINDRA TEHSIL_41079PND,41079PND,INDEPENDENT,OTHERS,RURAL,33,SECURE,X1871897,0.04,Active
730,POORVANCHAL,VARANASI-I,EDC VARANASI,EDD I VARANASI,33 KV PARLE AGRO_41079PRL,41079PRL,INDEPENDENT,OTHERS,RURAL,33,SECURE,X1332364,0.075,Active
731,POORVANCHAL,VARANASI-I,EDC VARANASI,EDD I VARANASI,33 KV BABATPUR AIRPORT_41079BBA,41079BBA,INDEPENDENT,OTHERS,RURAL,33,SECURE,X1395866,0.05,Active
732,POORVANCHAL,VARANASI-I,EDC VARANASI,EDD I VARANASI,33 KV UTTARA FEED_41079UTF,41079UTF,INDEPENDENT,OTHERS,RURAL,33,SECURE,X1332376,0.025,Active
733,POORVANCHAL,PRAYAGRAJ-II,EDC I PRAYAGRAJ,EDD I PRAYAGRAJ,33 KV TOANS PC VRIHAD-DAL_41017TPV,41017TPV,INDEPENDENT,OTHERS,RURAL,33,SECURE,X0370313,200,Active
734,POORVANCHAL,PRAYAGRAJ-II,EDC I PRAYAGRAJ,EDD I PRAYAGRAJ,33 KV ISOLEX_41088ISO,41088ISO,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPU24793,15,Active
735,POORVANCHAL,PRAYAGRAJ-II,EDC I PRAYAGRAJ,EDD I PRAYAGRAJ,33 KV YPC-II_41070YP2,41070YP2,INDEPENDENT,OTHERS,RURAL,33,LNT,7431701,200,Active
736,POORVANCHAL,PRAYAGRAJ-II,EDC I PRAYAGRAJ,EDD I PRAYAGRAJ,33 KV YPC-I_41070YP1,41070YP1,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPU24826,200,Active
737,POORVANCHAL,PRAYAGRAJ-II,EDC I PRAYAGRAJ,EDD I PRAYAGRAJ,33 KV VENKEYS_41062VNK,41062VNK,INDEPENDENT,OTHERS,RURAL,33,SECURE,Q0507013,25,Active
738,POORVANCHAL,PRAYAGRAJ-II,EDC I PRAYAGRAJ,EDD I PRAYAGRAJ,33 KV J.P. CEMENT SHEET)_41088JPC,41088JPC,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPU24792,50,Active
739,POORVANCHAL,PRAYAGRAJ-II,EDC I PRAYAGRAJ,EDD I PRAYAGRAJ,33 KV J.P. CEMENT BLENDING_41088JPC,41088JPC,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPU24797,20,Active
740,POORVANCHAL,PRAYAGRAJ-II,EDC PRATAPGARH,EDD I PRATAPGARH,33 KV MEDICAL COLLEGE_41018MDC,41018MDC,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPU19000,0.06,Active
741,POORVANCHAL,MIRZAPUR,EDC MIRZAPUR,EDD I MIRZAPUR,33 KV COURT_41042CR3,41042CR3,INDEPENDENT,DISTRICT HQ,URBAN,33,L AND T,13280175,60,Active
742,POORVANCHAL,MIRZAPUR,EDC MIRZAPUR,EDD I MIRZAPUR,33 KV COURT_41042CR2,41042CR2,INDEPENDENT,DISTRICT HQ,URBAN,33,L AND T,13280177,160,Active
743,POORVANCHAL,MIRZAPUR,EDC MIRZAPUR,EDD I MIRZAPUR,33 KV DRDO_41042DRD,41042DRD,INDEPENDENT,OTHERS,RURAL,33,SECURE,X0370292,20,Active
744,POORVANCHAL,MIRZAPUR,EDC MIRZAPUR,EDD I MIRZAPUR,33 KV BHU_41042BHU,41042BHU,INDEPENDENT,OTHERS,RURAL,33,SECURE,X0277027,100,Active
745,POORVANCHAL,MIRZAPUR,EDC MIRZAPUR,EDD I MIRZAPUR,33 KV COURT_41042CRT,41042CRT,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,X0500250,1,Active
746,POORVANCHAL,AZAMGARH,EDC MAU,EDD I MAU,33 KV DISTRICT COURT_41039DCR,41039DCR,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,X0370290,30,Active
747,POORVANCHAL,AZAMGARH,EDC MAU,EDD I MAU,33 KV HOSPITAL_41040HSP,41040HSP,INDEPENDENT,DISTRICT HQ,URBAN,33,LNT,13285773,20,Active
748,POORVANCHAL,VARANASI-II,EDC I JAUNPUR,EDD I JAUNPUR,33 KV TANDAWA PUMP CANAL_41033TPC,41033TPC,INDEPENDENT,OTHERS,RURAL,33,SECURE,UMV89583,1,Active
749,POORVANCHAL,VARANASI-II,EDC I JAUNPUR,EDD I JAUNPUR,33 KV MOTHHA PUMP CANAL_41026MPC,41026MPC,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPP59105,2,Active
750,POORVANCHAL,VARANASI-II,EDC GHAZIPUR,EDD I GHAZIPUR,33 KV RAMGARH PUMP CANAL_41002RPC,41002RPC,INDEPENDENT,OTHERS,RURAL,33,LNT,14192498,1,Active
751,POORVANCHAL,VARANASI-II,EDC GHAZIPUR,EDD I GHAZIPUR,33 KV MARDAH PUMP CANAL_41019MPC,41019MPC,INDEPENDENT,OTHERS,RURAL,33,L & T,22006799,0.5,Active
752,POORVANCHAL,VARANASI-II,EDC GHAZIPUR,EDD I GHAZIPUR,33 KV SUKHVEER AGRO_41087SUK,41087SUK,INDEPENDENT,DISTRICT HQ,RURAL,33,SECURE,UP-1799A,240,Active
753,POORVANCHAL,PRAYAGRAJ-II,EDC FATEHPUR,EDD I FATEHPUR,33 KV FATEHPUR_41081FTP,41081FTP,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPP26131,1,Active
754,POORVANCHAL,PRAYAGRAJ-II,EDC FATEHPUR,EDD I FATEHPUR,33 KV UPSIDC_41081UPS,41081UPS,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP26133,1,Active
755,POORVANCHAL,BASTI,EDC BASTI,EDD I BASTI,33 KV COURT_41075CRT,41075CRT,INDEPENDENT,OTHERS,URBAN,33,LNT,3455519,1,Active
756,POORVANCHAL,BASTI,EDC BASTI,EDD I BASTI,33 KV GOYAL EDEVILE_41075GOE,41075GOE,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,X1332416,1,Active
757,POORVANCHAL,AZAMGARH,EDC BALLIA,EDD I BALLIA,33 KV TURTIPAR_41053TUT,41053TUT,INDEPENDENT,OTHERS,RURAL,33,L&T,1319227,2,Active
758,POORVANCHAL,AZAMGARH,EDC BALLIA,EDD I BALLIA,33 KV POWER GRID_41060PWG,41060PWG,INDEPENDENT,OTHERS,RURAL,33,LNT,X0370289,40,Active
759,POORVANCHAL,AZAMGARH,EDC I AZAMGARH,EDD I AZAMGARH,33 KV DISTT. HOSPITAL_40160DTH,41064DSH,INDEPENDENT,DISTRICT HQ,URBAN,33,LNT,14192438,1,Active
760,POORVANCHAL,AZAMGARH,EDC I AZAMGARH,EDD I AZAMGARH,33 KV MAHILA HOSPITA_41064MHP,41064MHP,INDEPENDENT,DISTRICT HQ,URBAN,33,LNT,7041955,1,Active
761,POORVANCHAL,AZAMGARH,EDC I AZAMGARH,EDD I AZAMGARH,33 KV CIVIL COURT_41064CVC,41064CVC,INDEPENDENT,DISTRICT HQ,URBAN,33,LNT,7041851,1,Active
762,POORVANCHAL,GORAKHPUR-II,EDC KUSHINAGAR,EDD HATA,33 KV S.R. FOOD INDUSTRIES_41082SRF,41082SRF,INDEPENDENT,OTHERS,TEHSIL,33,SECURE,X0241639,50,Active
763,POORVANCHAL,PRAYAGRAJ-II,EDC II PRAYAGRAJ,EDD HANDIA,33 KV PUMP CANAL_41022PCL,41022PCL,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPE98949,0.48,Active
764,POORVANCHAL,MIRZAPUR,EDC BHADOHI,EDD GOPIGANJ,33 KV COURT_41021CRT,41021CRT,INDEPENDENT,OTHERS,RURAL,33,SECURE,XO140365,1,Active
765,POORVANCHAL,BASTI,EDC SIDDHARTHA NAGAR,EDD DUMARIAGANJ,33 KV PUMP CANAL_41015PCL,41015PCL,INDEPENDENT,OTHERS,RURAL,33,L&T,13193349,1,Active
766,POORVANCHAL,GORAKHPUR-II,EDC DEORIA,EDD DEORIA,33 KV MEDICAL_41012MDL,41012MDL,INDEPENDENT,DISTRICT HQ,URBAN,33,HPL,432227,0.1,Active
767,POORVANCHAL,GORAKHPUR-II,EDC DEORIA,EDD DEORIA,33 KV COURT_41012DSC,41012DSC,INDEPENDENT,DISTRICT HQ,URBAN,33,HPL,UPU24678,0.02,Active
768,POORVANCHAL,MIRZAPUR,EDC MIRZAPUR,EDD CHUNAR,33 KV J.P.ASSOCIATE_41032JPA,41032JPA,INDEPENDENT,OTHERS,RURAL,33,SECURE,APM06856,300,Active
769,POORVANCHAL,MIRZAPUR,EDC MIRZAPUR,EDD CHUNAR,33 KV SH.GOPAL ECO PLUS_41032SGE,41032SGE,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPP68589,60000,Active
770,POORVANCHAL,MIRZAPUR,EDC MIRZAPUR,EDD CHUNAR,33 KV SHANTI GOPAL_41011SHG,41011SHG,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPP69831,60000,Active
771,POORVANCHAL,MIRZAPUR,EDC MIRZAPUR,EDD CHUNAR,33 KV MAHAMAYA ALLOY_41011MM2,41011MM2,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPP 68732,60000,Active
772,POORVANCHAL,MIRZAPUR,EDC MIRZAPUR,EDD CHUNAR,33 KV MAHAMAYA ALLOY_41011MMA,41011MMA,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPP 68731,60000,Active
773,POORVANCHAL,MIRZAPUR,EDC MIRZAPUR,EDD CHUNAR,33 KV 20 MVA T/F I AND II_41046TF1,41046TF1,INDEPENDENT,TEHSIL HQ,RURAL,33,SECURE,UPO81958,120,Active
774,POORVANCHAL,MIRZAPUR,EDC MIRZAPUR,EDD CHUNAR,33 KV JHV_41011JHV,41011JHV,INDEPENDENT,OTHERS,RURAL,33,SECURE,U0241008,200,Active
775,POORVANCHAL,MIRZAPUR,EDC MIRZAPUR,EDD CHUNAR,33 KV ADALPURA_41051ADA,41051ADA,INDEPENDENT,OTHERS,RURAL,33,L AND T,13195249,1000,Active
776,POORVANCHAL,VARANASI-I,EDC VARANASI,EDD CHIRAIGAON,33 KV NIYARDIH P/C (IND)_41079NIY,41079NIY,INDEPENDENT,OTHERS,RURAL,33,SECURE,XXXXXXX,2,Active
777,POORVANCHAL,VARANASI-I,EDC VARANASI,EDD CHIRAIGAON,33 KV RAW WATER_41028RAW,41028RAW,INDEPENDENT,OTHERS,RURAL,33,SECURE,X0384559,0.05,Active
778,POORVANCHAL,PRAYAGRAJ-II,EDC KAUSHAMBHI,EDD CHAYAL,33 KV JOGAPUR PUMP CANAL_41038JPC,41038JPC,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPU24770,2,Active
779,POORVANCHAL,GORAKHPUR-I,EDC I GORAKHPUR,EDD CHAURI CHAURA,33 KV ASIAN FERTILIZER_41059ASF,41059ASF,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPU24646,60,Active
780,POORVANCHAL,VARANASI-II,EDC CHANDAULI,EDD CHANDAULI,33 KV KAUDIHAR PUMP CANAL_41008KPC,41008KPC,INDEPENDENT,OTHERS,RURAL,33,SECURE,1,0.5,Active
781,POORVANCHAL,VARANASI-II,EDC CHANDAULI,EDD CHANDAULI,33 KV DHANKUWARI PUMP CANAL_41054DPC,41054DPC,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPP26720,0.5,Active
782,POORVANCHAL,VARANASI-II,EDC CHANDAULI,EDD CHANDAULI,33 KV CRPF CAMP_41008CRP,41008CRP,INDEPENDENT,OTHERS,RURAL,33,SECURE,Q0436351,1,Active
783,POORVANCHAL,VARANASI-II,EDC CHANDAULI,EDD CHANDAULI,33 KV ST CHIKITSALAY_41008CKS,41008CKS,INDEPENDENT,OTHERS,RURAL,33,SECURE,Q0436350,0.5,Active
784,POORVANCHAL,VARANASI-II,EDC CHANDAULI,EDD CHANDAULI,33 KV PKPTS HOSPITAL_41009PKP,41009PKP,INDEPENDENT,DISTRICT HQ,IPDS,33,SECURE,X1332395,1,Active
785,POORVANCHAL,VARANASI-II,EDC CHANDAULI,EDD CHANDAULI,33 KV NEWAJGANJ PUMP CANAL_41009NEP,41009NEP,TAPPED(WITH OTHER CONSUMER FEEDER),OTHERS,RURAL,33,SECURE,11,1,Active
786,POORVANCHAL,AZAMGARH,EDC BALLIA,EDD BANSDIH,33 KV HALDI RAMPUR PUMP CANAL_41065HRP,41065HRP,INDEPENDENT,OTHERS,RURAL,33,SECURE,X0284458,1,Active
787,POORVANCHAL,AZAMGARH,EDC BALLIA,EDD BANSDIH,33 KV SSIPL_41023SSL,41023SSL,INDEPENDENT,OTHERS,RURAL,33,L AND L,13285767,30,Active
788,PASCHIMANCHAL,GHAZIABAD-III,EUDC III GHAZIABAD,EUDD X GHAZIABAD,33 KV BANSAL WIRES (IND) (B- 3)_10320BAN,10320BAN,INDEPENDENT,OTHERS,URBAN,33,SECURE,UP7455A,60,Active
789,PASCHIMANCHAL,GHAZIABAD-III,EUDC III GHAZIABAD,EUDD X GHAZIABAD,33 KV GULMOHAR_10320GUL,10320GUL,INDEPENDENT,OTHERS,URBAN,33,SECURE,UP5213A,60,Active
790,PASCHIMANCHAL,GHAZIABAD-III,EUDC III GHAZIABAD,EUDD X GHAZIABAD,33 KV BALAJI WIRES (IND)_10320BLW,10320BLW,INDEPENDENT,OTHERS,URBAN,33,SECURE,UP5220A,60,Active
791,PASCHIMANCHAL,GHAZIABAD-III,EUDC III GHAZIABAD,EUDD X GHAZIABAD,33 KV MOHAN MEAKINS_10320MOH,10320MOH,INDEPENDENT,OTHERS,URBAN,33,SECURE,UP5216A,60,Active
792,PASCHIMANCHAL,GHAZIABAD-III,EUDC III GHAZIABAD,EUDD X GHAZIABAD,33 KV SARLA FABRICS_10320SAR,10320SAR,INDEPENDENT,OTHERS,URBAN,33,SECURE,UP5221A,60,Active
793,PASCHIMANCHAL,GHAZIABAD-III,EUDC III GHAZIABAD,EUDD X GHAZIABAD,33 KV BANSAL HIGH CARBON_10320BRN,10320BRN,INDEPENDENT,OTHERS,URBAN,33,SECURE,UP7455A,60,Active
794,PASCHIMANCHAL,GHAZIABAD-III,EUDC III GHAZIABAD,EUDD X GHAZIABAD,33 KV HAF._10320HIN,10320HIN,INDEPENDENT,OTHERS,URBAN,33,SECURE,UP5218A,120,Active
795,PASCHIMANCHAL,GHAZIABAD-III,EUDC III GHAZIABAD,EUDD X GHAZIABAD,33 KV BANSAL WIRES (IND) (B- 6)_10320BWB,10320BWB,INDEPENDENT,OTHERS,URBAN,33,SECURE,UP7453A,60,Active
796,PASCHIMANCHAL,GHAZIABAD-III,EUDC III GHAZIABAD,EUDD X GHAZIABAD,33 KV AMBICA STEEL_10320AMB,10320AMB,INDEPENDENT,OTHERS,URBAN,33,SECURE,UP9219A,60,Active
797,PASCHIMANCHAL,GHAZIABAD-III,EUDC III GHAZIABAD,EUDD X GHAZIABAD,33 KV AAHUJA BAY_10320ANA,10320ANA,INDEPENDENT,OTHERS,URBAN,33,SECURE,UP7454A,60,Active
798,PASCHIMANCHAL,GHAZIABAD-III,EUDC II GHAZIABAD,EUDD VIII GHAZIABAD,33 KV SAYA HOMES_19801SAH,19801SAH,INDEPENDENT,OTHERS,URBAN,33,L & T,13286580,0.4,Active
799,PASCHIMANCHAL,GHAZIABAD-III,EUDC II GHAZIABAD,EUDD VIII GHAZIABAD,33 KV ATS_19801ATS,19801ATS,INDEPENDENT,OTHERS,URBAN,33,L & T,13285944,0.4,Active
800,PASCHIMANCHAL,GHAZIABAD-III,EUDC II GHAZIABAD,EUDD VIII GHAZIABAD,33 KV SHIPRA MALL_19801SSC,19801SSC,INDEPENDENT,OTHERS,URBAN,33,L & T,13285941,0.4,Active
801,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD VII NOIDA,33 KV FDR-7 SUMI M.SON_10305FD7,10305FD7,INDEPENDENT,OTHERS,URBAN,33,L AND T,950899,0.06,Active
802,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD VII NOIDA,33 KV FDR-6 SHANTI NIKATAN_10305FD6,10305FD6,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP69537,60,Active
803,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD VII NOIDA,33 KV FDR-9 CYBER PARK_10304FD9,10304FD9,INDEPENDENT,OTHERS,URBAN,33,L AND T,13286268,0.1,Active
804,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD VII NOIDA,33 KV FDR-8 NIB_10305FD8,10305FD8,INDEPENDENT,OTHERS,URBAN,33,SECURE,UD010907,0.125,Active
805,PASCHIMANCHAL,GHAZIABAD-III,EUDC III GHAZIABAD,EUDD VII GHAZIABAD,33 KV MMG HOSPITAL_10320MMG,10320MMG,INDEPENDENT,OTHERS,URBAN,33,L AND T,UP5223A,60,Active
806,PASCHIMANCHAL,GHAZIABAD-III,EUDC III GHAZIABAD,EUDD VII GHAZIABAD,33 KV ASCENT_10271ASC,10271ASC,INDEPENDENT,OTHERS,URBAN,33,L AND T,13286316,0.12,Active
807,PASCHIMANCHAL,GHAZIABAD-III,EUDC III GHAZIABAD,EUDD VII GHAZIABAD,33 KV PREVIEW INFRASTRUCTURE_19509PRE,19509PRE,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPT60514,1,Active
808,PASCHIMANCHAL,GHAZIABAD-III,EUDC III GHAZIABAD,EUDD VII GHAZIABAD,33 KV CAROL_10271CAR,10271CAR,INDEPENDENT,OTHERS,URBAN,33,L AND T,UP-5331A,120,Active
809,PASCHIMANCHAL,GHAZIABAD-III,EUDC III GHAZIABAD,EUDD VII GHAZIABAD,33 KV INTERNATIONAL TOBBACO CO._10271ITC,10271ITC,INDEPENDENT,OTHERS,URBAN,33,SECURE,UP5330A,60,Active
810,PASCHIMANCHAL,GHAZIABAD-III,EUDC III GHAZIABAD,EUDD VII GHAZIABAD,33 KV EXPLICIT TRADING_10271KVE,10271KVE,INDEPENDENT,OTHERS,URBAN,33,L AND T,UP-5332A,60,Active
811,PASCHIMANCHAL,GHAZIABAD-III,EUDC III GHAZIABAD,EUDD VII GHAZIABAD,33 KV SRI RAM PISTON_10271SRP,10271SRP,INDEPENDENT,OTHERS,URBAN,33,L AND T,9577292,120,Active
812,PASCHIMANCHAL,GHAZIABAD-III,EUDC II GHAZIABAD,EUDD VI GHAZIABAD,33 KV FRIGORIFICO ALLANA_10362FG1,10362FG1,INDEPENDENT,OTHERS,URBAN,33,SECURE,UP5285A,60,Active
813,PASCHIMANCHAL,GHAZIABAD-III,EUDC II GHAZIABAD,EUDD VI GHAZIABAD,33 KV HERO ALLANA_10362MOB,10362MOB,INDEPENDENT,OTHERS,URBAN,33,SECURE,UP5281A,120,Active
814,PASCHIMANCHAL,GHAZIABAD-III,EUDC II GHAZIABAD,EUDD VI GHAZIABAD,33 KV COOPER STANDARD_10363COS,10363COS,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP70049,60,Active
815,PASCHIMANCHAL,GHAZIABAD-III,EUDC II GHAZIABAD,EUDD VI GHAZIABAD,33 KV AMBICA STEEL_10362AMB,10362AMB,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP39924,0.06,Active
816,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD V NOIDA,33 KV 9 AMARPALI_10307FD9,10307FD9,INDEPENDENT,OTHERS,URBAN,33,L AND T,13286571,0.04,Active
817,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD V NOIDA,33 KV 10 GREAT VALUE_10307F10,10307F10,INDEPENDENT,OTHERS,URBAN,33,SECURE,UD010898,0.06,Active
