S.No.,Zone,Circle,Division,Substation,FeederBay,EnergyMeterSerialNo,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
83,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S MANJHANPUR,KARARI,10291253,T-D,July,2024,0,0,KARARI_444312,4047,EDD KAUSHAMBI,POORVANCHAL
,,,,,,,,,,,,KARARI_444312,4047,EDD KAUSHAMBI,POORVANCHAL
85,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S MANJHANPUR,BALAKMAU,UPP39524,T-D,July,2024,0,0,BALAKMAU_444312,1545,EDD KAUSHAMBI,POORVANCHAL
,,,,,,,,,,,,BHARWARI NEW_444311,2104,EDD CHAYAL,POORVANCHAL
,,,,,,,,,,,,BALAKMAU_444312,1545,EDD KAUSHAMBI,POORVANCHAL
,,,,,,,,,,,,BHARWARI NEW_444311,2104,EDD CHAYAL,POORVANCHAL
89,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S MANJHANPUR,MANJHANPUR-2,13195227,T-D,July,2024,0,0,MANJHANPUR TAHSIL_444312,1985,EDD KAUSHAMBI,POORVANCHAL
,,,,,,,,,,,,MANJHANPUR TAHSIL_444312,1985,EDD KAUSHAMBI,POORVANCHAL
91,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S MANJHANPUR,BAISKANTI,13195261,T-D,July,2024,0,1877.4,VAISHKATI_444312,1877.4,EDD KAUSHAMBI,POORVANCHAL
92,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S BHELUPUR,33KV BHADAINI,7041835,T-D,July,2024,0,8255.6,BHADAINI_40002,10713.3,EUDD I BHELUPUR,POORVANCHAL
93,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S BHELUPUR,33KV GODAULIA,7360722,T-D,July,2024,0,6750,GADOLIA_40011,6750,EUDD I BHELUPUR,POORVANCHAL
,,,,,,,,,,,,CHOWK_44045,3149,EUDD III MACHODARI,POORVANCHAL
95,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S BHELUPUR,33KV KABIR NAGAR,7360710,T-D,July,2024,0,4701.2,KABIR NAGAR_40149,4401.2,EUDD IV CHETMANI,POORVANCHAL
96,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S BHELUPUR,33KV NAGAR NIGAM,7041857,T-D,July,2024,0,8040.8,,,,
97,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S BHELUPUR,33KV JAL SANSTHAN,7360719,T-D,July,2024,0,0,SHANKUL DHARA_40023,13050.4,EUDD I BHELUPUR,POORVANCHAL
,,,,,,,,,,,,SHANKUL DHARA_40023,13050.4,EUDD I BHELUPUR,POORVANCHAL
99,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S BHELUPUR,33KV Bhelupur,10291336,T-D,July,2024,0,7461.4,BHELUPUR_40003,7461.4,EUDD I BHELUPUR,POORVANCHAL
100,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S BHELUPUR,33KV Shankuldhara,10291370,T-D,July,2024,0,6226.4,,,,
101,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S BHELUPUR,33KV T/F BUS-COUPLER,10291371,T-D,July,2024,0,0,,,,
102,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S CHOLAPUR,33 KV CHOLAPUR FEEDER,XF465015,T-D,July,2024,0,8036.1,CHOLAPUR_414333,6516.1,EDD CHIRAIGAON,POORVANCHAL
103,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S CHOLAPUR,33 KV PALHIPATTI FEEDER,XF465010,T-D,July,2024,0,2780.4,PALAHIPATTI_414333,2780.4,EDD CHIRAIGAON,POORVANCHAL
104,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S CHOLAPUR,33 KV RAUNAKALAN FEEDER,XF465013,T-D,July,2024,0,3342.8,RAUNAKALA_414333,3342.8,EDD CHIRAIGAON,POORVANCHAL
105,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S CHOLAPUR,33 KV TBC FEEDER,XF465014,T-D,July,2024,0,5.6,,,,
106,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S VARANASI CANTT.,33KV PLP,G005100410,T-D,July,2024,0,0,PANNALAL PARK_40021,6805,EUDD V TRANSVERNA,POORVANCHAL
,,,,,,,,,,,,SANSKRITIK SANKUL_40153,2943.8,EUDD V TRANSVERNA,POORVANCHAL
,,,,,,,,,,,,SANSKRITIK SANKUL_40153,2347,EUDD VI SARNATH,POORVANCHAL
109,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S VARANASI CANTT.,33 KV KOILAHAWA BAY,G005100409,T-D,July,2024,0,0,LALPUR_40014,5184.5,EUDD V TRANSVERNA,POORVANCHAL
,,,,,,,,,,,,KOHILWA_40027,3050.9,EUDD V TRANSVERNA,POORVANCHAL
,,,,,,,,,,,,LALPUR NEW_40356,2394.9,EUDD V TRANSVERNA,POORVANCHAL
112,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S VARANASI CANTT.,33 KV BUS TRANSFAR,806176,T-D,July,2024,0,0,,,,
,,,,,,,,,,,,,,,
114,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S VARANASI CANTT.,33KV SIGRA-1,UP070401,T-D,July,2024,0,0,BENIA BAG_40001,8953.28,EUDD II CHOKAGHAT,POORVANCHAL
,,,,,,,,,,,,KASHI VIDYA PEETH_40013,7056.58,EUDD II CHOKAGHAT,POORVANCHAL
116,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S VARANASI CANTT.,33 KV SIGRA -2,UPE40109,T-D,July,2024,0,0,KASHI VIDYA PEETH_40013,7056.58,EUDD II CHOKAGHAT,POORVANCHAL
,,,,,,,,,,,,NAGAR NIGAM_40019,7865.66,EUDD II CHOKAGHAT,POORVANCHAL
118,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S VARANASI CANTT.,33 KV NEW KASHI VIDHYAPITH BAY,KAB04504,T-D,July,2024,0,0,CHAUKAGHAT_40007,10250.6,EUDD II CHOKAGHAT,POORVANCHAL
,,,,,,,,,,,,CHAUKAGHAT_40007,2618,EUDD VIII KAJJAKPURA,POORVANCHAL
120,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S VARANASI CANTT.,33 KV OREDLAY BAZAR BAY,UP070398,T-D,July,2024,0,0,ARDALI BAZAR_40026,6116,EUDD V TRANSVERNA,POORVANCHAL
121,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S VARANASI CANTT.,D.J.CAMP,KAB04498,T-D,July,2024,0,0,,,,
122,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S VARANASI CANTT.,33 KV VARUNA GARDEN BAY,G005100417,T-D,July,2024,0,0,CHAUKAGHAT_40007,10250.6,EUDD II CHOKAGHAT,POORVANCHAL
,,,,,,,,,,,,CHAUKAGHAT_40007,2618,EUDD VIII KAJJAKPURA,POORVANCHAL
