S.No.,Zone,Circle,Division,Substation,FeederBay,EnergyMeterSerialNo,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
63,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S TANDA (RAMPUR),33KV FDR. TANDA RURAL,UPP26457,T-D,July,2024,0,0,SARKHADA KHAS_120412,2417,EDD II MORADABAD,PASCHIMANCHAL
,,,,,,,,,,,,TANDA_120542,3651,EDD II RAMPUR,PASCHIMANCHAL
,,,,,,,,,,,,SARKHADA KHAS_120412,2417,EDD II MORADABAD,PASCHIMANCHAL
,,,,,,,,,,,,TANDA_120542,3651,EDD II RAMPUR,PASCHIMANCHAL
67,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S TANDA (RAMPUR),33KV FDR. SAID NAGAR,KAU08004,T-D,July,2024,0,0,SAID NAGAR_120542,2509,EDD II RAMPUR,PASCHIMANCHAL
,,,,,,,,,,,,SAID NAGAR_120542,2509,EDD II RAMPUR,PASCHIMANCHAL
69,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S TANDA (RAMPUR),33KV FDR. TRIVENI ENGG. & INDU. LTD.(COGEN),KAU07955,T-D,July,2024,0,0,,,,
,,,,,,,,,,,,,,,
71,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S TANDA (RAMPUR),33KV FDR. TBC,UPP40014,T-D,July,2024,0,0,,,,
,,,,,,,,,,,,,,,
73,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S TANDA (RAMPUR),33KV FDR. WHEELS INDIA LTD.,9577284,T-D,July,2024,0,0,,,,
,,,,,,,,,,,,,,,
75,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S TANDA (RAMPUR),33KV FDR. KASHIF RICE MILL,KAU07941,T-D,July,2024,0,0,,,,
,,,,,,,,,,,,,,,
77,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S TANDA (RAMPUR),33KV FDR. BHAGATPUR,KAU08009,T-D,July,2024,0,0,BHAGATPUR_120412,2010,EDD II MORADABAD,PASCHIMANCHAL
,,,,,,,,,,,,BHAGATPUR_120412,2010,EDD II MORADABAD,PASCHIMANCHAL
79,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S TANDA (RAMPUR),33KV FDR. TANDA TEHSEEL,13194263,T-D,July,2024,0,4313.96,,,,
80,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S TANDA (RAMPUR),33KV FDR. SWAR TEHSEEL,13194355,T-D,July,2024,0,3169.12,SWAR TEHSEEL_11307,3246,EDD II RAMPUR,PASCHIMANCHAL
81,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S TANDA (RAMPUR),33KV FDR. MASWASI,13193407,T-D,July,2024,0,4715.94,MASWASI_11300,4716,EDD II RAMPUR,PASCHIMANCHAL
82,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,DHANAURI MAFI,SIE55604,T-D,July,2024,0,1071,DHANAURI MAFI_120632,1071,EDD I GAJRAULA,PASCHIMANCHAL
83,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,RAJABPUR-I,SIE55602,T-D,July,2024,0,0,RAJABPUR_120631,4918,EDD I AMROHA,PASCHIMANCHAL
,,,,,,,,,,,,RAJABPUR_120631,4918,EDD I AMROHA,PASCHIMANCHAL
85,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,DEHRA MILAK / DHAKKA,SIE55606,T-D,July,2024,0,0,DEHRA MILAK_120634,1556,EDD II GAJRAULA,PASCHIMANCHAL
,,,,,,,,,,,,DHAKKA_120634,1642,EDD II GAJRAULA,PASCHIMANCHAL
,,,,,,,,,,,,DEHRA MILAK_120634,1556,EDD II GAJRAULA,PASCHIMANCHAL
,,,,,,,,,,,,DHAKKA_120634,1642,EDD II GAJRAULA,PASCHIMANCHAL
89,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,SHAHWAJPUR,SIE55608,T-D,July,2024,0,869,SHAHBAZPUR_120631,869,EDD I AMROHA,PASCHIMANCHAL
