S.No.,Zone,Circle,Division,Substation,FeederBay,Energy Meter Serial No.,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
65,WEST,ETC Moradabad-I,ETD Moradabad-II,220KV S/S MORADABAD(MAJHOLA),CB-17 DHAKKA,13194314,T-D,June,2024,0,2658.5,DHAKKA_11422,2659,EUDD I MORADABAD,PASCHIMANCHAL
66,WEST,ETC Moradabad-I,ETD Moradabad-II,132KV S/S AGWANPUR,302 AGWANPUR-II,UPP60462,T-D,June,2024,0,2090.6,AGWANPUR II_120412,2090.6,EDD II MORADABAD,PASCHIMANCHAL
67,WEST,ETC Moradabad-I,ETD Moradabad-II,132KV S/S AGWANPUR,310 AGWANPUR-I,UPP60497,T-D,June,2024,0,5872.2,AGWANPUR_120412,5872,EDD II MORADABAD,PASCHIMANCHAL
68,WEST,ETC Moradabad-I,ETD Moradabad-II,132KV S/S AGWANPUR,304 BHIKKANPUR,UPP60463,T-D,June,2024,0,3727.6,BHEEKANPUR_120412,3728,EDD II MORADABAD,PASCHIMANCHAL
69,WEST,ETC Moradabad-I,ETD Moradabad-II,132KV S/S AGWANPUR,308 KANTH,UPP60495,T-D,June,2024,0,2440.8,,,,
70,WEST,ETC Moradabad-I,ETD Moradabad-II,132KV S/S AGWANPUR,CB-309 TBC,UPP60496,T-D,June,2024,0,0,,,,
71,WEST,ETC Moradabad-I,ETD Moradabad-II,132KV S/S MORADABAD-III(GULAB BARI),CB-381 40MVA T/F-I (LV),UP-0499A,T-D,June,2024,0,12166.08,KATGHAR_10181,3485,EUDD III MORADABAD,PASCHIMANCHAL
72,WEST,ETC Moradabad-I,ETD Moradabad-II,132KV S/S MORADABAD-III(GULAB BARI),CB-383 40MVA T/F-II (LV).,UP-0501A,T-D,June,2024,0,13677.84,,,,
73,WEST,ETC Moradabad-I,ETD Moradabad-II,132KV S/S MORADABAD-III(GULAB BARI),CB-382 63 MVA T/F-I(LV).,UP-0500A,T-D,June,2024,0,12255.84,,,,
74,WEST,ETC Moradabad-I,ETD Moradabad-II,132KV S/S MORADABAD-III(GULAB BARI),CB-01 GALSHEED,X0372802,T-D,June,2024,0,9093.2,GAL SHAHEED_10179,4813,EUDD III MORADABAD,PASCHIMANCHAL
75,WEST,ETC Moradabad-I,ETD Moradabad-II,132KV S/S MORADABAD-III(GULAB BARI),CB-03 SHIVPURI,X0372795,T-D,June,2024,0,4342.2,SHIVPURI_10437,4342,EUDD III MORADABAD,PASCHIMANCHAL
76,WEST,ETC Moradabad-I,ETD Moradabad-II,132KV S/S MORADABAD-III(GULAB BARI),CB-04 PEETAL NAGRI,X0372741,T-D,June,2024,0,7099.6,PITAL BASTI_10180,7100,EUDD III MORADABAD,PASCHIMANCHAL
77,WEST,ETC Moradabad-I,ETD Moradabad-II,132KV S/S MORADABAD-III(GULAB BARI),CB-05 BUS COUPLER,X0372750,T-D,June,2024,0,8864.6,,,,
78,WEST,ETC Moradabad-I,ETD Moradabad-II,132KV S/S MORADABAD-III(GULAB BARI),CB-06 SAMBHAL CHOWK,10291293,T-D,June,2024,0,1476.2,GULAB WARI_10488,1476,EUDD III MORADABAD,PASCHIMANCHAL
79,WEST,ETC Moradabad-I,ETD Moradabad-II,132KV S/S MORADABAD-III(GULAB BARI),CB-07 DALPATPUR,10291257,T-D,June,2024,0,294.4,DALPATPUR_120412,7509,EDD II MORADABAD,PASCHIMANCHAL
,,,,,,,,,,,,BHEETKHERA_120412,1650,EDD II MORADABAD,PASCHIMANCHAL
81,WEST,ETC Moradabad-I,ETD Moradabad-II,132KV S/S MORADABAD-III(GULAB BARI),CB-08 SAMBHAL ROAD,10291333,T-D,June,2024,0,1454.4,SHAHIDABAD_10487,2704,EUDD I MORADABAD,PASCHIMANCHAL
82,WEST,ETC Moradabad-I,ETD Moradabad-II,132KV S/S MORADABAD-III(GULAB BARI),CB-09 GIC,X0508931,T-D,June,2024,0,0,GIC_10182,4280,EUDD III MORADABAD,PASCHIMANCHAL
83,WEST,ETC Moradabad-I,ETD Moradabad-II,132KV S/S MORADABAD-III(GULAB BARI),CB-10 EKTA VIHAR,X0508918,T-D,June,2024,0,1941.6,EKTA VIHAR_10390,1942,EUDD III MORADABAD,PASCHIMANCHAL
84,WEST,ETC Moradabad-I,ETD Rampur,220KV S/S RAMPUR,33 KV TBC 05,13192634,T-D,June,2024,0,0,,,,
85,WEST,ETC Moradabad-I,ETD Rampur,220KV S/S RAMPUR,DHAMORA- 01,13192575,T-D,June,2024,0,1573,DHAMORA_120543,1573,EDD MILAK,PASCHIMANCHAL
86,WEST,ETC Moradabad-I,ETD Rampur,220KV S/S RAMPUR,MILAK TEHSIL- 02,13192554,T-D,June,2024,0,3679,MILAK_11316,3679,EDD MILAK,PASCHIMANCHAL
87,WEST,ETC Moradabad-I,ETD Rampur,220KV S/S RAMPUR,DURGNAGLA - 03,13192573,T-D,June,2024,0,4137,DURG NAGLA_120543,4137,EDD MILAK,PASCHIMANCHAL
88,WEST,ETC Moradabad-I,ETD Rampur,220KV S/S RAMPUR,PIPLA SHIVNAGAR- 04,13192640,T-D,June,2024,0,2943,PIPLA SHIV NAGAR_120543,2943,EDD MILAK,PASCHIMANCHAL
89,WEST,ETC Moradabad-I,ETD Rampur,220KV S/S RAMPUR,SIHARI -06,13192566,T-D,June,2024,0,1162,SIYARI_120543,1162,EDD MILAK,PASCHIMANCHAL
90,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 01(BEGMABAD),7253166,T-D,June,2024,0,0,BEGAMABAD_120544,3750,EDD BILASPUR,PASCHIMANCHAL
,,,,,,,,,,,,BEGAMABAD_120544,3750,EDD BILASPUR,PASCHIMANCHAL
92,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 02(DIBDIBA),UPP40075,T-D,June,2024,0,0,DIBDIBA_120544,4246,EDD BILASPUR,PASCHIMANCHAL
,,,,,,,,,,,,DIBDIBA_120544,4246,EDD BILASPUR,PASCHIMANCHAL
94,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 03(ASHOK NAGAR),7253141,T-D,June,2024,0,0,ASHOK NAGAR_120544,4100,EDD BILASPUR,PASCHIMANCHAL
,,,,,,,,,,,,ASHOK NAGAR_120544,4100,EDD BILASPUR,PASCHIMANCHAL
96,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 04(GPL),13193482,T-D,June,2024,0,2117.78,,,,
97,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 05(TBC),X0372742,T-D,June,2024,0,0,,,,
98,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 06(BILASPUR TEHSIL),7041847,T-D,June,2024,0,3132.8,BILASPUR_10136,3133,EDD BILASPUR,PASCHIMANCHAL
99,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 07(KEMRI),UPC89437,T-D,June,2024,0,0,KEMRI_120544,6200,EDD BILASPUR,PASCHIMANCHAL
,,,,,,,,,,,,KEMRI_120544,6200,EDD BILASPUR,PASCHIMANCHAL
101,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 08(GODHI),UPC89461,T-D,June,2024,0,0,GODHI_120544,1699,EDD BILASPUR,PASCHIMANCHAL
,,,,,,,,,,,,GODHI_120544,1699,EDD BILASPUR,PASCHIMANCHAL
103,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 09 (GESL),8036392,T-D,June,2024,0,3393.24,,,,
104,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 10 (BILASPUR RURAL),X0372792,T-D,June,2024,0,4104.6,KUA KHEDA_120544,2992,EDD BILASPUR,PASCHIMANCHAL
,,,,,,,,,,,,NEW BILASPUR_15083,1768,EDD BILASPUR,PASCHIMANCHAL
,,,,,,,,,,,,ANWARIA_11514,1113,EDD BILASPUR,PASCHIMANCHAL
107,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 11 (CHADDHA PAPER MILL),9142954,T-D,June,2024,0,1483.36,,,,
108,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 12 (RUDRAPUR BORDER),X0372812,T-D,June,2024,0,3469.8,RUDRAPUR BORDER_120544,1702,EDD BILASPUR,PASCHIMANCHAL
109,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 13 (GOVINDPURA),UPP40021,T-D,June,2024,0,0,GOVINDPURA_120544,2600,EDD BILASPUR,PASCHIMANCHAL
,,,,,,,,,,,,GOVINDPURA_120544,2600,EDD BILASPUR,PASCHIMANCHAL
111,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 14 (AL-SAMEER),9142949,T-D,June,2024,0,0,,,,
112,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S RAMPUR,"33KV RAZA INTER COLLEGE,CB-1",X0372789,T-D,June,2024,0,3532.8,RAZA INTER COLLEGE_10115,3533,EDD I RAMPUR,PASCHIMANCHAL
113,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S RAMPUR,"33KV BILASPUR GATE, CB-3",X0372768,T-D,June,2024,0,2424.8,BILASPUR GATE_10387,1810,EDD I RAMPUR,PASCHIMANCHAL
114,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S RAMPUR,"33KV PANWARIA, CB-4",X0372761,T-D,June,2024,0,2674.2,PANWARIYA_10140,2674,EDD I RAMPUR,PASCHIMANCHAL
115,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S RAMPUR,"33KV PAHARI GATE, CB-6",X0372803,T-D,June,2024,0,6451,PAHARI GATE_10114,6451,EDD I RAMPUR,PASCHIMANCHAL
116,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S RAMPUR,"33KV MODI XEROX, CB-7",UPP40006,T-D,June,2024,0,221460,,,,
117,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S RAMPUR,"33KV THANA GANJ, CB-8",UPP40008,T-D,June,2024,0,1240.08,THANA GANJ_11426,1855,EDD I RAMPUR,PASCHIMANCHAL
118,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S RAMPUR,33 KHAITAN CB-9,X0372783,T-D,June,2024,0,4.6,,,,
119,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S RAMPUR,"33 KV DISTRICT HOSPITAL,CB-10",X0372813,T-D,June,2024,0,40.89,,,,
120,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S RAMPUR,"33KV SHAHABAD GATE, CB-12",5130201,T-D,June,2024,0,5346.4,SHAHABAD GATE_10116,5346,EDD I RAMPUR,PASCHIMANCHAL
