S.No.,Zone,Circle,Division,Substation,FeederBay,Energy Meter Serial No.,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
108,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S JASRANA,33 KV EKA - PADHAM,KAB04480,T-D,June,2024,0,5172,EKA_24466,2480.93,EDD JASRANA,DAKSHINANCHAL
,,,,,,,,,,,,PADHAM_24739,2691.13,EDD JASRANA,DAKSHINANCHAL
110,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S JASRANA,33 KV PRATAPPUR,9540004,T-D,June,2024,0,2056,PRATAPPUR_24779,2056,EDD JASRANA,DAKSHINANCHAL
111,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S JASRANA,33 KV MUSTFABAD,KAU04881,T-D,June,2024,0,1468,MUSTAFABAD_24685,1468,EDD JASRANA,DAKSHINANCHAL
112,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S JASRANA,33 KV JASARANA R/L,KAB04479,T-D,June,2024,0,3844,BAJHERA BUZURG_24334,1089,EDD SHIRSAGANJ,DAKSHINANCHAL
,,,,,,,,,,,,JASRANA RURAL_24549,2886,EDD JASRANA,DAKSHINANCHAL
114,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S JASRANA,33 KV JASRANA TOWN,KAU04948,T-D,June,2024,0,1246,SUBSTSTION JASRANA_22342,1246,EDD JASRANA,DAKSHINANCHAL
115,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S JASRANA,33 KV JACK BUS,KAB04482,T-D,June,2024,0,0,,,,
116,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S JASRANA,33 KV BHADANA,9540020,T-D,June,2024,0,1596,BHADANA_24374,1596,EDD JASRANA,DAKSHINANCHAL
,,,,,,,,,,,,KHAIRGARH_24586,2348,EDD JASRANA,DAKSHINANCHAL
118,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S JASRANA,33 KV BANVARA,5266711,T-D,June,2024,0,2104,BANWARA_24346,1291.36,EDD JASRANA,DAKSHINANCHAL
,,,,,,,,,,,,ITOLY_24529,812.67,EDD JASRANA,DAKSHINANCHAL
120,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S JASRANA,33 KV FARIHA,9540005,T-D,June,2024,0,1542,FARIHA_22242,1642,EDD JASRANA,DAKSHINANCHAL
121,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S JASRANA,33KV KHAIRGARH,5266703,T-D,June,2024,0,2348,,,,
122,SOUTH-WEST,ETC Aligarh,ETD Aligarh-II,220KV S/S SIKANDRA RAO,132 KV RAILWAY TSS KASGANJ BAY,PGE4016A,T-D,June,2024,0,524.23,,,,
123,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S DANNAHAR,33 kV Ghiror Feeder,UPC 89375,T-D,June,2024,0,7587.82,ARAON_24308,4155,EDD SHIRSAGANJ,DAKSHINANCHAL
,,,,,,,,,,,,GHIROR_251723,2980,EDD III MAINPURI,DAKSHINANCHAL
125,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S DANNAHAR,33 kV Saidpur Baghauli Feeder,UPC 89422,T-D,June,2024,0,1642.42,SAIDPUR BHAGOLI _251723,1642.42,EDD III MAINPURI,DAKSHINANCHAL
126,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S DANNAHAR,33 kV Dannahar Feeder,UPC 89381,T-D,June,2024,0,2251.2,DANNAHAR_251723,1606.2,EDD III MAINPURI,DAKSHINANCHAL
,,,,,,,,,,,,NAGLA JULA_251723,642,EDD III MAINPURI,DAKSHINANCHAL
128,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S DANNAHAR,33 kV Kosma Feeder,UPC 89376,T-D,June,2024,0,2797.6,KOSMA_251723,1667.6,EDD III MAINPURI,DAKSHINANCHAL
,,,,,,,,,,,,CHANDIKARA_251723,1130,EDD III MAINPURI,DAKSHINANCHAL
130,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S DANNAHAR,33 kV Shahjahanpur Feeder,UPC 89400,T-D,June,2024,0,1309.2,SHAHNAHANPUR_251723,1309.2,EDD III MAINPURI,DAKSHINANCHAL
131,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S DANNAHAR,33 kV Usnida Feeder,UPC 89402,T-D,June,2024,0,838,USNIDA_251723,838,EDD III MAINPURI,DAKSHINANCHAL
132,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S DANNAHAR,33 kV Bus Coupler Feeder,4937729,T-D,June,2024,0,1089.24,,,,
133,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S DANNAHAR,33 kV (765 kV) Kharra Feeder,XC 599473,T-D,June,2024,0,31.4,,,,
134,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S DANNAHAR,33 kV Karhal Feeder,XC 599481,T-D,June,2024,0,880.6,KARHAL WAY (KHARRA)_24262,880.6,EDD I MAINPURI,DAKSHINANCHAL
135,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S DANNAHAR,33 kV Kuchela Feeder,XC 599470,T-D,June,2024,0,2158,KANKAN_251723,988,EDD III MAINPURI,DAKSHINANCHAL
,,,,,,,,,,,,KUCHELA_251723,1170,EDD III MAINPURI,DAKSHINANCHAL
137,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S ETAH,33 KV 3 MVA,9577657,T-D,June,2024,0,300,GAGANPUR URBAN_20167,300,EUDD ETAH,DAKSHINANCHAL
138,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S ETAH,33 KV UPSIDC,9577531,T-D,June,2024,0,3673.2,UPSIDC_20032,3860.4,EUDD ETAH,DAKSHINANCHAL
139,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S ETAH,33 KV Etah I/A,9577864,T-D,June,2024,0,0,INDUSTRIAL AREA _20031,3079.6,EUDD ETAH,DAKSHINANCHAL
,,,,,,,,,,,,INDUSTRIAL AREA _20031,3079.6,EUDD ETAH,DAKSHINANCHAL
141,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S ETAH,33 KV Railway road,KAB04449,T-D,June,2024,0,4752.6,RAILWAY ROAD_20030,4752.6,EUDD ETAH,DAKSHINANCHAL
142,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S ETAH,33 KV Thandi Sadak,UPP40460,T-D,June,2024,0,3046,THANDI SADAK_20188,3046,EUDD ETAH,DAKSHINANCHAL
143,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S ETAH,33 KV JTPS,UPP40457,T-D,June,2024,0,222.4,,,,
144,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S ETAH,33 KV 10 MVA,XDUU9412,T-D,June,2024,0,2582.44,GANGANPUR_24481,2586.69,EDD II ETAH,DAKSHINANCHAL
145,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S ETAH,33 KV Sakeet,XDUU9515,T-D,June,2024,0,1381.02,SAKIT_22681,1812.4,EDD I ETAH,DAKSHINANCHAL
146,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S ETAH,33 KV District Hospital,XD449413,T-D,June,2024,0,169.69,,,,
147,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S ETAH,33 KV TBC,UPP40461,T-D,June,2024,0,187.2,,,,
148,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S ETAH,33 KV Rijore,5081442,T-D,June,2024,0,2534.32,RIZORE_24804,2534.2,EDD II ETAH,DAKSHINANCHAL
