S.No,Discom,Zone,Circle,Division,,
301,DAKSHINANCHAL,FIROZABAD,EUDC FIROZABAD,EUDD I FIROZABAD,DIV251641,  
302,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD I GHAZIABAD,,  
303,DAKSHINANCHAL,JHANSI,EUDC JHANSI,EUDD I JHANSI,,  
304,DAKSHINANCHAL,MATHURA,EUDC MATHURA,EUDD I MATHURA,,  
305,PASCHIMANCHAL,MEERUT-I,EUDC MEERUT,EUDD I MEERUT,DIV110711,  
306,PASCHIMANCHAL,MORADABAD,EUDC MORADABAD,EUDD I MORADABAD,,  
307,PASCHIMANCHAL,MUZAFFARNAGAR,EUDC MUZAFFARNAGAR,EUDD I MUZAFFARNAGAR,,  
308,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD I NOIDA,,  
309,PASCHIMANCHAL,SAHARANPUR,EUDC SAHARANPUR,EUDD I SAHARANPUR,,  
310,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD I TOWN HALL,,  
311,DAKSHINANCHAL,ALIGARH,EUDC ALIGARH,EUDD II ALIGARH,,  
312,MADHYANCHAL,BAREILLY-I,EUDC BAREILLY,EUDD II BAREILLY,,  
313,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD II BUXIPUR,,  
314,POORVANCHAL,VARANASI-I,EUDC I VARANASI,EUDD II CHOKAGHAT,,  
315,DAKSHINANCHAL,FIROZABAD,EUDC FIROZABAD,EUDD II FIROZABAD,DIV251642,  
316,PASCHIMANCHAL,GHAZIABAD-III,EUDC II GHAZIABAD,EUDD II GHAZIABAD,,  
317,DAKSHINANCHAL,JHANSI,EUDC JHANSI,EUDD II JHANSI,,  
318,DAKSHINANCHAL,MATHURA,EUDC MATHURA,EUDD II MATHURA,,  
319,PASCHIMANCHAL,MEERUT-I,EUDC MEERUT,EUDD II MEERUT,DIV110712,  
320,PASCHIMANCHAL,MORADABAD,EUDC MORADABAD,EUDD II MORADABAD,,  
321,PASCHIMANCHAL,MUZAFFARNAGAR,EUDC MUZAFFARNAGAR,EUDD II MUZAFFARNAGAR,,  
322,PASCHIMANCHAL,NOIDA,EUDC II NOIDA,EUDD II NOIDA,,  
323,PASCHIMANCHAL,SAHARANPUR,EUDC SAHARANPUR,EUDD II SAHARANPUR,,  
324,DAKSHINANCHAL,ALIGARH,EUDC ALIGARH,EUDD III ALIGARH,,  
325,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD III BAKRASHPUR,,  
326,MADHYANCHAL,BAREILLY-I,EUDC BAREILLY,EUDD III BAREILLY,,  
327,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD III GHAZIABAD,,  
328,POORVANCHAL,VARANASI-I,EUDC II VARANASI,EUDD III MACHODARI,,  
329,DAKSHINANCHAL,MATHURA,EUDC MATHURA,EUDD III MATHURA,,  
330,PASCHIMANCHAL,MEERUT-I,EUDC MEERUT,EUDD III MEERUT,DIV110713,  
331,PASCHIMANCHAL,MORADABAD,EUDC MORADABAD,EUDD III MORADABAD,,  
332,PASCHIMANCHAL,MUZAFFARNAGAR,EUDC MUZAFFARNAGAR,EUDD III MUZAFFARNAGAR,,  
333,PASCHIMANCHAL,NOIDA,EUDC II NOIDA,EUDD III NOIDA,,  
334,DAKSHINANCHAL,ALIGARH,EUDC ALIGARH,EUDD IV ALIGARH,,  
335,MADHYANCHAL,BAREILLY-I,EUDC BAREILLY,EUDD IV BAREILLY,,  
336,POORVANCHAL,VARANASI-I,EUDC I VARANASI,EUDD IV CHETMANI,,  
337,PASCHIMANCHAL,GHAZIABAD-III,EUDC III GHAZIABAD,EUDD IV GHAZIABAD,,  
338,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD IV GORAKHPUR,,  
339,PASCHIMANCHAL,MEERUT-I,EUDC MEERUT,EUDD IV MEERUT,DIV110714,  
340,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD IX GHAZIABAD,,  
341,POORVANCHAL,PRAYAGRAJ-I,EUDC I PRAYAGRAJ,EUDD KALYANI DEVI,,  
342,POORVANCHAL,PRAYAGRAJ-I,EUDC I PRAYAGRAJ,EUDD KARELABAGH,,  
343,POORVANCHAL,PRAYAGRAJ-I,EUDC II PRAYAGRAJ,EUDD MAYOHALL,,  
344,POORVANCHAL,PRAYAGRAJ-I,EUDC I PRAYAGRAJ,EUDD NAINI,,  
345,POORVANCHAL,PRAYAGRAJ-I,EUDC I PRAYAGRAJ,EUDD RAMBAGH,,  
346,POORVANCHAL,PRAYAGRAJ-I,EUDC II PRAYAGRAJ,EUDD TAGORE TOWN,,  
347,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD V GHAZIABAD,,  
348,PASCHIMANCHAL,MEERUT-I,EUDC MEERUT,EUDD V MEERUT,DIV110715,  
349,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD V NOIDA,,  
350,POORVANCHAL,VARANASI-I,EUDC II VARANASI,EUDD V TRANSVERNA,,  
351,PASCHIMANCHAL,GHAZIABAD-III,EUDC II GHAZIABAD,EUDD VI GHAZIABAD,,  
352,POORVANCHAL,VARANASI-I,EUDC II VARANASI,EUDD VI SARNATH,,  
353,PASCHIMANCHAL,GHAZIABAD-III,EUDC III GHAZIABAD,EUDD VII GHAZIABAD,,  
354,POORVANCHAL,VARANASI-I,EUDC I VARANASI,EUDD VII MADHAULI,,  
355,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD VII NOIDA,,  
356,PASCHIMANCHAL,GHAZIABAD-III,EUDC II GHAZIABAD,EUDD VIII GHAZIABAD,,  
357,POORVANCHAL,VARANASI-I,EUDC II VARANASI,EUDD VIII KAJJAKPURA,,  
358,PASCHIMANCHAL,NOIDA,EUDC II NOIDA,EUDD VIII NOIDA,,  
359,PASCHIMANCHAL,GHAZIABAD-III,EUDC III GHAZIABAD,EUDD X GHAZIABAD,,  
360,PASCHIMANCHAL,GHAZIABAD-III,EUDC III GHAZIABAD,EUDD XI GHAZIABAD,,  
361,MADHYANCHAL,L.E.S.A. TG-II,EUDC II LESA,GOMTINAGAR,,  
362,KESCO,KESCO,CIRCLE II,GOVIND NAGAR,,  
363,KESCO,KESCO,CIRCLE II,GUMTI,,  
364,KESCO,KESCO,CIRCLE III,HANSPURAM,,  
365,KESCO,KESCO,CIRCLE III,HARRIS GANJ,,  
366,MADHYANCHAL,L.E.S.A. CG-II,EUDC I LESA,HUSSAIN GANJ,,  
367,MADHYANCHAL,L.E.S.A. TG-II,EUDC IX LESA,INDIRA NAGAR,,  
368,KESCO,KESCO,CIRCLE III,JAJMAU,,  
369,KESCO,KESCO,CIRCLE IV,KALYANPUR,,  
370,MADHYANCHAL,L.E.S.A. CG-I,EUDC VII LESA,KANPUR ROAD,,  
371,KESCO,KESCO,CIRCLE II,KIDWAI NAGAR,,  
372,MADHYANCHAL,L.E.S.A. TG-I,EUDC VI LESA,MAHANAGAR,,  
373,MADHYANCHAL,L.E.S.A. TG-II,EUDC IX LESA,MUNSHI PULIA,,  
374,KESCO,KESCO,CIRCLE III,NAUBASTA,,  
375,KESCO,KESCO,CIRCLE I,NAWABGANJ,,  
376,KESCO,KESCO,CIRCLE II,PARAG DAIRY,,  
377,KESCO,KESCO,CIRCLE I,PHOOL BAGH,,  
378,MADHYANCHAL,L.E.S.A. TG-I,EUDC X LESA,RAHEEM NAGAR,,  
379,MADHYANCHAL,L.E.S.A. CG-II,EUDC I LESA,RAJ BHAWAN,,  
380,MADHYANCHAL,L.E.S.A. CG-II,EUDC III LESA,RAJAJIPURAM,,  
381,MADHYANCHAL,AYODHYA,EDC BARABANKI,RAMSNEHI GHAT,,  
382,KESCO,KESCO,CIRCLE IV,RATANPUR,,  
383,MADHYANCHAL,L.E.S.A. CG-II,EUDC VIII LESA,RESIDENCY,,  
384,KESCO,KESCO,CIRCLE IV,SARVODAYA NAGAR,,  
385,MADHYANCHAL,L.E.S.A. TG-I,EUDC VI LESA,SITAPUR ROAD,,  
386,MADHYANCHAL,L.E.S.A. CG-II,EUDC VIII LESA,THAKURGANJ,,  
387,MADHYANCHAL,L.E.S.A. TG-I,EUDC VI LESA,UNIVERSITY,,  
388,MADHYANCHAL,L.E.S.A. CG-II,EUDC III LESA,UPTRON,,  
389,KESCO,KESCO,CIRCLE IV,VIKAS NAGAR,,  
390,MADHYANCHAL,L.E.S.A. CG-I,EUDC VII LESA,VRINDAVAN,,  
391,KESCO,KESCO,CIRCLE II,WORLD BANK BARRA,,  
392,KESCO,KESCO,CIRCLE I,ZAREEB CHOUKI,,
