S.No,Discom,Zone,Circle,Division,,
49,PASCHIMANCHAL,SAHARANPUR,EDC I SAHARANPUR,EDD DEOBANDH,,  
50,POORVANCHAL,GORAKHPUR-II,EDC DEORIA,EDD DEORIA,,  
51,DAKSHINANCHAL,KANPUR-II,EDC AURAIYA,EDD DIBYAPUR,,  
52,POORVANCHAL,BASTI,EDC SIDDHARTHA NAGAR,EDD DUMARIAGANJ,,  
53,DAKSHINANCHAL,AGRA,EDC FATEHABAD,EDD ETMADPUR,,  
54,POORVANCHAL,PRAYAGRAJ-II,EDC II PRAYAGRAJ,EDD FAFAMAU,,  
55,DAKSHINANCHAL,KANPUR-II,EDC FARRUKHABAD,EDD FARRUKKHABAD,,  
56,MADHYANCHAL,AYODHYA,EDC BARABANKI,EDD FATEHPUR,,  
57,DAKSHINANCHAL,FIROZABAD,EDC FIROZABAD,EDD FIROZABAD,,  
58,PASCHIMANCHAL,BULANDSHAHAR,EDC HAPUR,EDD GARHMUKHTESHWAR,,  
59,POORVANCHAL,GORAKHPUR-II,EDC DEORIA,EDD GAURI BAZAR,,  
60,MADHYANCHAL,AYODHYA,EDC GAURIGANJ,EDD GAURIGANJ,,  
61,DAKSHINANCHAL,KANPUR-I,EDC KANPUR,EDD GHATAMPUR,,  
62,MADHYANCHAL,SITAPUR,EDC GOLA,EDD GOLA,,  
63,POORVANCHAL,MIRZAPUR,EDC BHADOHI,EDD GOPIGANJ,,  
64,DAKSHINANCHAL,MATHURA,EDC I MATHURA,EDD GOVERDHAN,,  
65,MADHYANCHAL,AYODHYA,EDC BARABANKI,EDD HAIDERGARH,,  
66,DAKSHINANCHAL,BANDA,EDC HAMIRPUR,EDD HAMIRPUR,,  
67,POORVANCHAL,PRAYAGRAJ-II,EDC II PRAYAGRAJ,EDD HANDIA,,  
68,POORVANCHAL,BASTI,EDC BASTI,EDD HARAIYA,,  
69,POORVANCHAL,GORAKHPUR-II,EDC KUSHINAGAR,EDD HATA,,  
70,DAKSHINANCHAL,AGRA,EDC AGRA,EDD I AGRA,,  
71,DAKSHINANCHAL,ALIGARH,EDC I ALIGARH,EDD I ALIGARH,,  
72,PASCHIMANCHAL,GAJRAULA,EDC AMROHA,EDD I AMROHA,,  
73,MADHYANCHAL,AYODHYA,EDC AYODHYA,EDD I AYODHYA,,  
74,POORVANCHAL,AZAMGARH,EDC I AZAMGARH,EDD I AZAMGARH,,  
75,MADHYANCHAL,BAREILLY-II,EDC BADAUN,EDD I BADAUN,,  
76,PASCHIMANCHAL,MEERUT-II,EDC BAGHPAT,EDD I BAGHPAT,,  
77,POORVANCHAL,AZAMGARH,EDC BALLIA,EDD I BALLIA,,  
78,PASCHIMANCHAL,MEERUT-II,EDC BAGHPAT,EDD I BARAUT,,  
79,MADHYANCHAL,BAREILLY-I,EDC BAREILLY,EDD I BAREILLY,,  
80,POORVANCHAL,BASTI,EDC BASTI,EDD I BASTI,,  
81,PASCHIMANCHAL,GAJRAULA,EDC BIJNOR,EDD I BIJNOR,,  
82,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,,  
83,PASCHIMANCHAL,GAJRAULA,EDC BIJNOR,EDD I CHANDPUR,,  
